958538,958538,Student,,,,,,958538,I04U,
142925,142925,Student,,,,,,142925,O89C,
445899,445899,Student,,,,,,445899,W59M,
138792,138792,Student,,,,,,138792,M71K,
689531,689531,Student,,,,,,689531,W62X,
345991,345991,Student,,,,,,345991,D10F,
346991,346991,Student,,,,,,346991,P95V,
912060,912060,Student,,,,,,912060,B05V,
685359,685359,Student,,,,,,685359,J17L,
375512,375512,Student,,,,,,375512,U44P,
293146,293146,Student,,,,,,293146,G43H,
398972,398972,Student,,,,,,398972,V23K,
735481,735481,Student,,,,,,735481,J32T,
383569,383569,Student,,,,,,383569,F44W,
602114,602114,Student,,,,,,602114,H61G,
999645,999645,Student,,,,,,999645,N12U,
620805,620805,Student,,,,,,620805,A90B,
157317,157317,Student,,,,,,157317,H39C,
284179,284179,Student,,,,,,284179,B39U,
